Number of analyzed projects,Total LOC,Total types,Total namespaces,Total implementation smells detected,Total design smells detected,Total architecture smells detected
124,154221,1817,298,3524,1066,123
1,902,10,3,4,11,0
9,84295,516,39,2605,658,66
5,19059,216,18,254,119,33
9,18736,319,21,704,136,32
2,4388,71,13,61,57,8
2,9742,113,11,153,128,19
3,1684,24,8,184,4,2
4,4737,86,16,29,113,12
7,3085,58,11,33,48,13
11,29006,325,31,799,246,41
1,8501,41,1,55,20,1
2,5164,57,12,112,55,4
1,1765,23,7,18,27,2
2,1867,56,2,24,58,1
3,43488,286,4,6471,312,1
9,1110,36,9,6,25,3
6,96806,580,30,1499,795,46
1,0,0,0,0,0,0
20,126909,726,59,2632,1094,51
1,3097,19,1,88,31,0
1,368,11,1,19,6,1
20,105730,998,113,3860,1013,122
7,4078,92,12,139,96,5
1,2420,20,5,10,14,1
52,80678,828,103,2692,812,80
2,1507,14,6,26,21,0
2,1239,26,4,21,23,1
2,7430,106,9,432,33,8
1,0,0,0,0,0,0
5,2305,22,9,111,12,0
38,42519,411,99,2421,285,69
26,36906,425,70,1076,276,24
2,1121,25,3,22,14,0
1,818,6,2,5,19,0
1,2592,19,1,19,28,0
12,4137,44,16,61,22,0
7,28395,317,19,1147,419,13
2,783,13,4,7,10,1
2,0,0,0,0,0,0
1,3720,23,3,829,14,2
2,11870,143,15,97,94,28
1,459,16,5,1,13,3
8,10373,174,27,92,118,10
4,7187,50,11,74,29,6
2,3163,37,12,22,41,13
1,68,1,1,0,1,0
7,18018,308,91,210,518,14
3,878,13,5,30,6,2
2,7297,99,9,415,137,25
1,541,4,1,42,5,0
1,738,10,2,14,8,2
1,4508,33,4,218,31,1
1,291,2,1,9,2,0
1,2613,41,3,357,27,2
2,352,5,1,0,4,0
2,533,48,1,2,65,2
1,0,0,0,0,0,0
5,4153,65,9,61,83,10
5,4153,65,9,61,83,10
52,18881,793,183,209,705,86
1,403,11,1,3,5,1
1,782,14,4,3,1,0
16,18795,238,27,305,216,11
3,508,9,5,12,7,0
4,15844,180,21,416,168,26
1,4797,77,6,62,73,7
1,7974,102,21,256,82,1
16,12685,77,26,992,44,2
3,12973,146,16,192,40,13
0,0,0,0,0,0,0
22,374590,3763,221,4321,3572,540
2,150735,1015,284,1606,838,326
5,3548,27,9,233,21,1
3,1553,26,8,59,16,4
1,1769,32,3,17,37,2
2,56,1,1,3,0,0
2,19022,229,56,1117,279,69
4,15202,203,17,349,183,23
2,2819,68,16,55,122,3
4,4370,61,6,156,78,2
1,177,1,1,1,1,0
2,18372,84,4,250,103,2
3,3034,53,7,102,42,1
1,157,4,1,0,2,0
4,7729,164,8,217,144,9
0,0,0,0,0,0,0
1,43,1,1,4,0,0
2,318,4,2,6,3,0
1,40388,164,2,337,267,3
3,370,4,2,36,3,0
46,33366,211,54,1541,154,12
13,36777,1213,52,1252,1155,110
2,7815,22,2,291,237,1
3,725,23,9,6,9,0
1,4168,35,1,79,88,1
2,705,18,2,6,8,0
1,1461,29,7,24,8,15
3,12803,111,8,135,99,5
2,2904,51,11,37,26,5
1,354,6,2,3,6,0
1,672,7,2,168,6,0
11,92681,309,16,3923,681,11
21,44685,430,301,1132,463,28
7,10864,97,31,167,81,7
2,57066,177,11,1307,257,13
7,1932,20,8,75,13,0
112,301986,1235,159,3748,1599,54
3,18096,123,4,559,147,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
2,4985,76,10,121,65,10
10,22257,297,45,177,137,57
2,524,16,2,4,23,1
8,5537,84,13,16,36,5
4,7025,97,16,81,62,8
3,5590,74,6,104,103,10
8,67349,509,30,1223,983,47
11,23548,519,44,910,231,78
2,4758,75,6,54,68,4
11,13670,275,30,270,141,45
2,831,9,4,38,7,0
1,3349,17,4,2031,36,0
10,127458,862,50,10415,993,97
10,127458,862,50,10415,993,97
3,10744,172,6,117,153,4
1,756,6,1,1,3,1
14,130775,1835,119,2465,1251,340
4,792,25,6,10,10,1
6,109348,546,21,3127,1025,34
5,0,0,0,0,0,0
3,2659,34,8,25,21,4
4,17540,223,26,320,115,42
0,0,0,0,0,0,0
9,49580,636,49,1737,757,80
9,49580,636,49,1737,757,80
3,6009,69,4,130,63,1
18,28956,513,75,1440,394,65
8,668,17,5,21,8,1
0,0,0,0,0,0,0
15,7294,73,20,202,57,2
3,14706,150,15,417,92,15
2,899,12,5,30,5,0
14,32831,524,48,39,627,44
2,944,36,4,7,47,2
1,5146,69,7,109,79,17
8,53986,312,16,2553,396,16
8,18174,214,14,329,212,16
0,0,0,0,0,0,0
2,2356,24,6,34,32,3
13,8959,55,15,86,77,4
9,19495,155,21,1723,290,18
5,2362,29,4,26,28,2
1,643,6,2,183,3,0
11,47077,338,34,357,674,68
1,2744,39,2,271,53,2
1,4727,136,17,94,142,4
2,6178,75,8,9,51,21
14,44546,494,60,1254,512,44
3,7469,145,12,49,141,33
4,11893,139,22,670,315,66
14,3297,39,11,36,37,15
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,2237,6,1,93,15,0
1,1980,14,2,18,12,1
7,920,14,7,5,7,0
3,5108,61,5,453,61,1
1,4173,44,9,211,17,5
8,198506,1131,48,3535,1805,54
1,349,11,3,3,10,0
1,156,4,1,0,2,0
1,118328,246,5,19596,993,2
1,138,2,1,6,0,0
1,1053,12,1,53,18,0
4,8732,115,10,420,156,5
3,6810,84,14,207,88,7
5,6213,165,20,72,102,27
13,2379,54,13,21,37,3
2,2469,31,3,79,16,3
1,143,1,1,0,1,0
4,3067,33,4,206,14,1
483,121469,1938,583,2758,1350,77
2,15326,218,2,188,398,4
7,5874,102,22,302,53,10
8,7885,133,33,14,48,16
2,6564,97,7,753,104,4
7,63853,747,27,1862,670,26
1,296,5,2,4,2,0
1,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
6,103539,725,59,1407,963,31
2,362,4,2,10,1,0
2,6720,114,19,16,98,14
2,10417,65,17,234,83,37
2,1606,16,7,46,13,1
35,6245,119,20,26,204,13
4,0,0,0,0,0,0
15,399,6,4,3,3,0
5,51,2,1,0,2,0
63,0,0,0,0,0,0
3,19,1,1,0,1,0
5,0,0,0,0,0,0
3,732,12,4,16,12,0
12,0,0,0,0,0,0
2,0,0,0,0,0,0
6,436,35,8,0,45,3
3,0,0,0,0,0,0
14,0,0,0,0,0,0
18,561,42,21,0,77,0
6,4800,40,2,16,62,1
3,24278,148,6,653,188,22
7,0,0,0,0,0,0
5,0,0,0,0,0,0
4,247,12,2,3,18,1
